s,p,o
http://iiitd.ac.in/course/sweb/student/2019440/currentFocusOn,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://iiitd.ac.in/course/sweb/student/2019440/currentFocusOn
http://iiitd.ac.in/course/sweb/student/2019440/currentFocusOn,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://iiitd.ac.in/course/sweb/student/2019440/focusOn
http://iiitd.ac.in/course/sweb/student/2019440/focusOn,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://iiitd.ac.in/course/sweb/student/2019440/focusOn
http://iiitd.ac.in/course/sweb/student/2019440/firstName,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://iiitd.ac.in/course/sweb/student/2019440/firstName
http://iiitd.ac.in/course/sweb/student/2019440/foundedBy,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://iiitd.ac.in/course/sweb/student/2019440/foundedBy
http://iiitd.ac.in/course/sweb/student/2019440/fullName,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://iiitd.ac.in/course/sweb/student/2019440/fullName
http://iiitd.ac.in/course/sweb/student/2019440/headquarters,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://iiitd.ac.in/course/sweb/student/2019440/headquarters
http://iiitd.ac.in/course/sweb/student/2019440/historicalInformation,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://iiitd.ac.in/course/sweb/student/2019440/historicalInformation
http://iiitd.ac.in/course/sweb/student/2019440/historicalInformation,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://iiitd.ac.in/course/sweb/student/2019440/information
http://iiitd.ac.in/course/sweb/student/2019440/information,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://iiitd.ac.in/course/sweb/student/2019440/information
http://iiitd.ac.in/course/sweb/student/2019440/incorporationDate,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://iiitd.ac.in/course/sweb/student/2019440/incorporationDate
http://iiitd.ac.in/course/sweb/student/2019440/lastName,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://iiitd.ac.in/course/sweb/student/2019440/lastName
http://iiitd.ac.in/course/sweb/student/2019440/longestRunningSeriesOfModels,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://iiitd.ac.in/course/sweb/student/2019440/longestRunningSeriesOfModels
http://iiitd.ac.in/course/sweb/student/2019440/longestRunningSeriesOfModels,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://iiitd.ac.in/course/sweb/student/2019440/seriesOfModels
http://iiitd.ac.in/course/sweb/student/2019440/seriesOfModels,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://iiitd.ac.in/course/sweb/student/2019440/seriesOfModels
http://iiitd.ac.in/course/sweb/student/2019440/majorCompetitors,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://iiitd.ac.in/course/sweb/student/2019440/majorCompetitors
http://iiitd.ac.in/course/sweb/student/2019440/majorCompetitors,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://iiitd.ac.in/course/sweb/student/2019440/competitors
http://iiitd.ac.in/course/sweb/student/2019440/competitors,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://iiitd.ac.in/course/sweb/student/2019440/competitors
http://iiitd.ac.in/course/sweb/student/2019440/manufactures,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://iiitd.ac.in/course/sweb/student/2019440/manufactures
http://iiitd.ac.in/course/sweb/student/2019440/market,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://iiitd.ac.in/course/sweb/student/2019440/market
http://iiitd.ac.in/course/sweb/student/2019440/modelName,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://iiitd.ac.in/course/sweb/student/2019440/modelName
http://iiitd.ac.in/course/sweb/student/2019440/parentCompany,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://iiitd.ac.in/course/sweb/student/2019440/parentCompany
http://iiitd.ac.in/course/sweb/student/2019440/prefecture,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://iiitd.ac.in/course/sweb/student/2019440/prefecture
http://iiitd.ac.in/course/sweb/student/2019440/productionOf,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://iiitd.ac.in/course/sweb/student/2019440/productionOf
http://iiitd.ac.in/course/sweb/student/2019440/sales,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://iiitd.ac.in/course/sweb/student/2019440/sales
http://iiitd.ac.in/course/sweb/student/2019440/startYear,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://iiitd.ac.in/course/sweb/student/2019440/startYear
http://iiitd.ac.in/course/sweb/student/2019440/tillYear,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://iiitd.ac.in/course/sweb/student/2019440/tillYear
http://iiitd.ac.in/course/sweb/student/2019440/unitsSold,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://iiitd.ac.in/course/sweb/student/2019440/unitsSold
http://iiitd.ac.in/course/sweb/student/2019440/whereSold,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://iiitd.ac.in/course/sweb/student/2019440/whereSold
http://www.w3.org/1999/02/22-rdf-syntax-ns#_2,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#_2
http://www.w3.org/1999/02/22-rdf-syntax-ns#_3,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#_3
http://www.w3.org/1999/02/22-rdf-syntax-ns#_4,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#_4
http://iiitd.ac.in/course/sweb/student/2019440/reason,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://iiitd.ac.in/course/sweb/student/2019440/reason
http://iiitd.ac.in/course/sweb/student/2019440/impactOn,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://iiitd.ac.in/course/sweb/student/2019440/impactOn
http://iiitd.ac.in/course/sweb/student/2019440/intensity,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://iiitd.ac.in/course/sweb/student/2019440/intensity
http://www.w3.org/1999/02/22-rdf-syntax-ns#Alt,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.w3.org/2000/01/rdf-schema#Container
http://www.w3.org/1999/02/22-rdf-syntax-ns#Bag,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.w3.org/2000/01/rdf-schema#Container
http://www.w3.org/1999/02/22-rdf-syntax-ns#Seq,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.w3.org/2000/01/rdf-schema#Container
http://www.w3.org/2000/01/rdf-schema#ContainerMembershipProperty,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
http://www.w3.org/1999/02/22-rdf-syntax-ns#XMLLiteral,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.w3.org/2000/01/rdf-schema#Literal
http://www.w3.org/1999/02/22-rdf-syntax-ns#XMLLiteral,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#XMLLiteral
http://www.w3.org/2000/01/rdf-schema#Datatype,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.w3.org/2000/01/rdf-schema#Class
http://www.w3.org/2001/XMLSchema#nonNegativeInteger,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.w3.org/2001/XMLSchema#nonNegativeInteger
http://www.w3.org/2001/XMLSchema#string,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.w3.org/2001/XMLSchema#string
http://iiitd.ac.in/course/sweb/student/2019440/Vehicle,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://iiitd.ac.in/course/sweb/student/2019440/Vehicle
http://iiitd.ac.in/course/sweb/student/2019440/Vehicle_Brands,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://iiitd.ac.in/course/sweb/student/2019440/Vehicle_Brands
http://iiitd.ac.in/course/sweb/student/2019440/2_Wheeler,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://iiitd.ac.in/course/sweb/student/2019440/Vehicle
http://iiitd.ac.in/course/sweb/student/2019440/3_Wheeler,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://iiitd.ac.in/course/sweb/student/2019440/Vehicle
http://iiitd.ac.in/course/sweb/student/2019440/Ford,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://iiitd.ac.in/course/sweb/student/2019440/Vehicle_Brands
http://iiitd.ac.in/course/sweb/student/2019440/Cars,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://iiitd.ac.in/course/sweb/student/2019440/Vehicle
http://iiitd.ac.in/course/sweb/student/2019440/Cars,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://iiitd.ac.in/course/sweb/student/2019440/4_Wheeler
http://iiitd.ac.in/course/sweb/student/2019440/Hyundai,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://iiitd.ac.in/course/sweb/student/2019440/Vehicle_Brands
